ncode,tdate,pdate,tenor,pmt
1097708,31/03/2024,31/05/2024,0.1644,4.0110
1097708,31/03/2024,30/05/2025,1.1616,4.0000
1097708,31/03/2024,31/05/2026,2.1644,4.0000
1097708,31/03/2024,31/05/2027,3.1644,4.0000
1097708,31/03/2024,30/05/2028,4.1644,4.0000
1097708,31/03/2024,31/05/2029,5.1671,4.0000
1097708,31/03/2024,31/05/2030,6.1671,4.0000
1097708,31/03/2024,30/05/2031,7.1644,4.0000
1097708,31/03/2024,31/05/2032,8.1699,4.0000
1097708,31/03/2024,31/05/2033,9.1699,4.0000
1097708,31/03/2024,31/05/2034,10.1699,4.0000
1097708,31/03/2024,31/05/2035,11.1699,4.0000
1097708,31/03/2024,30/05/2036,12.1699,104.0000
1120583,31/03/2024,30/08/2024,0.4137,2.7500
1120583,31/03/2024,31/08/2025,1.4164,2.7500
1120583,31/03/2024,31/08/2026,2.4164,2.7500
1120583,31/03/2024,31/08/2027,3.4164,2.7500
1120583,31/03/2024,31/08/2028,4.4192,2.7500
1120583,31/03/2024,31/08/2029,5.4192,2.7500
1120583,31/03/2024,30/08/2030,6.4164,2.7500
1120583,31/03/2024,31/08/2031,7.4192,2.7500
1120583,31/03/2024,31/08/2032,8.4219,2.7500
1120583,31/03/2024,31/08/2033,9.4219,2.7500
1120583,31/03/2024,31/08/2034,10.4219,2.7500
1120583,31/03/2024,31/08/2035,11.4219,2.7500
1120583,31/03/2024,31/08/2036,12.4247,2.7500
1120583,31/03/2024,31/08/2037,13.4247,2.7500
1120583,31/03/2024,31/08/2038,14.4247,2.7500
1120583,31/03/2024,31/08/2039,15.4247,2.7500
1120583,31/03/2024,31/08/2040,16.4274,2.7500
1120583,31/03/2024,30/08/2041,17.4247,102.7500
1135912,31/03/2024,31/10/2024,0.5836,0.7521
1135912,31/03/2024,31/10/2025,1.5836,100.7500
1140847,31/03/2024,31/05/2024,0.1644,0.7521
1140847,31/03/2024,30/05/2025,1.1616,0.7500
1140847,31/03/2024,31/05/2026,2.1644,0.7500
1140847,31/03/2024,31/05/2027,3.1644,100.7500
1157023,31/03/2024,31/05/2024,0.1644,0.5014
1157023,31/03/2024,30/05/2025,1.1616,0.5000
1157023,31/03/2024,31/05/2026,2.1644,0.5000
1157023,31/03/2024,31/05/2027,3.1644,0.5000
1157023,31/03/2024,30/05/2028,4.1644,0.5000
1157023,31/03/2024,31/05/2029,5.1671,100.5000
1168301,31/03/2024,29/11/2024,0.6630,0.5000
1168301,31/03/2024,30/11/2025,1.6658,0.5000
1168301,31/03/2024,30/11/2026,2.6658,0.5000
1168301,31/03/2024,30/11/2027,3.6658,0.5000
1168301,31/03/2024,30/11/2028,4.6685,0.5000
1168301,31/03/2024,30/11/2029,5.6685,0.5000
1168301,31/03/2024,29/11/2030,6.6658,0.5000
1168301,31/03/2024,30/11/2031,7.6685,0.5000
1168301,31/03/2024,30/11/2032,8.6712,0.5000
1168301,31/03/2024,30/11/2033,9.6712,0.5000
1168301,31/03/2024,30/11/2034,10.6712,0.5000
1168301,31/03/2024,30/11/2035,11.6712,0.5000
1168301,31/03/2024,30/11/2036,12.6740,0.5000
1168301,31/03/2024,30/11/2037,13.6740,0.5000
1168301,31/03/2024,30/11/2038,14.6740,0.5000
1168301,31/03/2024,30/11/2039,15.6740,0.5000
1168301,31/03/2024,30/11/2040,16.6767,0.5000
1168301,31/03/2024,29/11/2041,17.6740,0.5000
1168301,31/03/2024,30/11/2042,18.6767,0.5000
1168301,31/03/2024,30/11/2043,19.6767,0.5000
1168301,31/03/2024,30/11/2044,20.6795,0.5000
1168301,31/03/2024,30/11/2045,21.6795,0.5000
1168301,31/03/2024,30/11/2046,22.6795,0.5000
1168301,31/03/2024,29/11/2047,23.6767,0.5000
1168301,31/03/2024,30/11/2048,24.6822,0.5000
1168301,31/03/2024,30/11/2049,25.6822,0.5000
1168301,31/03/2024,30/11/2050,26.6822,0.5000
1168301,31/03/2024,30/11/2051,27.6822,100.5000
1169564,31/03/2024,31/07/2024,0.3315,0.1003
1169564,31/03/2024,31/07/2025,1.3315,0.1000
1169564,31/03/2024,31/07/2026,2.3315,100.1000
1172220,31/03/2024,29/11/2024,0.6630,0.1000
1172220,31/03/2024,30/11/2025,1.6658,0.1000
1172220,31/03/2024,30/11/2026,2.6658,0.1000
1172220,31/03/2024,30/11/2027,3.6658,0.1000
1172220,31/03/2024,30/11/2028,4.6685,0.1000
1172220,31/03/2024,30/11/2029,5.6685,0.1000
1172220,31/03/2024,29/11/2030,6.6658,0.1000
1172220,31/03/2024,30/11/2031,7.6685,100.1000
1197326,31/03/2024,31/10/2024,0.5836,1.1030
1197326,31/03/2024,31/10/2025,1.5836,1.1000
1197326,31/03/2024,30/10/2026,2.5808,1.1000
1197326,31/03/2024,31/10/2027,3.5836,1.1000
1197326,31/03/2024,31/10/2028,4.5863,101.1000
1204379,31/03/2024,31/10/2024,0.5836,1.0521
1204379,31/03/2024,31/10/2025,1.5836,1.6000
1204379,31/03/2024,30/10/2026,2.5808,1.6000
1204379,31/03/2024,31/10/2027,3.5836,1.6000
1204379,31/03/2024,31/10/2028,4.5863,1.6000
1204379,31/03/2024,31/10/2029,5.5863,1.6000
1204379,31/03/2024,31/10/2030,6.5863,1.6000
1204379,31/03/2024,31/10/2031,7.5863,1.6000
1204379,31/03/2024,31/10/2032,8.5890,1.6000
1204379,31/03/2024,31/10/2033,9.5890,101.6000
