ncode,tdate,pdate,tenor,pmt
1099456,31/03/2024,31/10/2024,0.5836,6.2671
1099456,31/03/2024,31/10/2025,1.5836,6.2500
1099456,31/03/2024,30/10/2026,2.5808,106.2500
1125400,31/03/2024,31/01/2025,0.8356,5.5151
1125400,31/03/2024,30/01/2026,1.8329,5.5000
1125400,31/03/2024,31/01/2027,2.8356,5.5000
1125400,31/03/2024,31/01/2028,3.8356,5.5000
1125400,31/03/2024,31/01/2029,4.8384,5.5000
1125400,31/03/2024,31/01/2030,5.8384,5.5000
1125400,31/03/2024,31/01/2031,6.8384,5.5000
1125400,31/03/2024,30/01/2032,7.8356,5.5000
1125400,31/03/2024,31/01/2033,8.8411,5.5000
1125400,31/03/2024,31/01/2034,9.8411,5.5000
1125400,31/03/2024,31/01/2035,10.8411,5.5000
1125400,31/03/2024,31/01/2036,11.8411,5.5000
1125400,31/03/2024,30/01/2037,12.8411,5.5000
1125400,31/03/2024,31/01/2038,13.8438,5.5000
1125400,31/03/2024,31/01/2039,14.8438,5.5000
1125400,31/03/2024,31/01/2040,15.8438,5.5000
1125400,31/03/2024,31/01/2041,16.8466,5.5000
1125400,31/03/2024,31/01/2042,17.8466,105.5000
1135557,31/03/2024,30/08/2024,0.4137,1.7500
1135557,31/03/2024,31/08/2025,1.4164,101.7500
1139344,31/03/2024,31/03/2025,0.9973,2.0000
1139344,31/03/2024,31/03/2026,1.9973,2.0000
1139344,31/03/2024,31/03/2027,2.9973,102.0000
1140193,31/03/2024,31/03/2025,0.9973,3.7500
1140193,31/03/2024,31/03/2026,1.9973,3.7500
1140193,31/03/2024,31/03/2027,2.9973,3.7500
1140193,31/03/2024,31/03/2028,4.0000,3.7500
1140193,31/03/2024,30/03/2029,4.9973,3.7500
1140193,31/03/2024,31/03/2030,6.0000,3.7500
1140193,31/03/2024,31/03/2031,7.0000,3.7500
1140193,31/03/2024,31/03/2032,8.0027,3.7500
1140193,31/03/2024,31/03/2033,9.0027,3.7500
1140193,31/03/2024,31/03/2034,10.0027,3.7500
1140193,31/03/2024,30/03/2035,11.0000,3.7500
1140193,31/03/2024,31/03/2036,12.0055,3.7500
1140193,31/03/2024,30/03/2037,13.0027,3.7500
1140193,31/03/2024,31/03/2038,14.0055,3.7500
1140193,31/03/2024,31/03/2039,15.0055,3.7500
1140193,31/03/2024,30/03/2040,16.0055,3.7500
1140193,31/03/2024,31/03/2041,17.0082,3.7500
1140193,31/03/2024,31/03/2042,18.0082,3.7500
1140193,31/03/2024,31/03/2043,19.0082,3.7500
1140193,31/03/2024,31/03/2044,20.0110,3.7500
1140193,31/03/2024,31/03/2045,21.0110,3.7500
1140193,31/03/2024,30/03/2046,22.0082,3.7500
1140193,31/03/2024,31/03/2047,23.0110,103.7500
1150879,31/03/2024,30/09/2024,0.4986,2.2623
1150879,31/03/2024,30/09/2025,1.4986,2.2500
1150879,31/03/2024,30/09/2026,2.4986,2.2500
1150879,31/03/2024,30/09/2027,3.4986,2.2500
1150879,31/03/2024,28/09/2028,4.4959,102.2500
1160985,31/03/2024,31/03/2025,0.9973,1.0000
1160985,31/03/2024,31/03/2026,1.9973,1.0000
1160985,31/03/2024,31/03/2027,2.9973,1.0000
1160985,31/03/2024,31/03/2028,4.0000,1.0000
1160985,31/03/2024,30/03/2029,4.9973,1.0000
1160985,31/03/2024,31/03/2030,6.0000,101.0000
1162668,31/03/2024,30/04/2024,0.0795,0.5014
1162668,31/03/2024,30/04/2025,1.0795,100.5000
1166180,31/03/2024,31/05/2024,0.1644,1.5041
1166180,31/03/2024,30/05/2025,1.1616,1.5000
1166180,31/03/2024,31/05/2026,2.1644,1.5000
1166180,31/03/2024,31/05/2027,3.1644,1.5000
1166180,31/03/2024,30/05/2028,4.1644,1.5000
1166180,31/03/2024,31/05/2029,5.1671,1.5000
1166180,31/03/2024,31/05/2030,6.1671,1.5000
1166180,31/03/2024,30/05/2031,7.1644,1.5000
1166180,31/03/2024,31/05/2032,8.1699,1.5000
1166180,31/03/2024,31/05/2033,9.1699,1.5000
1166180,31/03/2024,31/05/2034,10.1699,1.5000
1166180,31/03/2024,31/05/2035,11.1699,1.5000
1166180,31/03/2024,30/05/2036,12.1699,1.5000
1166180,31/03/2024,31/05/2037,13.1726,101.5000
1174697,31/03/2024,28/02/2025,0.9123,0.5000
1174697,31/03/2024,27/02/2026,1.9096,100.5000
1180660,31/03/2024,30/04/2024,0.0795,1.3036
1180660,31/03/2024,30/04/2025,1.0795,1.3000
1180660,31/03/2024,30/04/2026,2.0795,1.3000
1180660,31/03/2024,30/04/2027,3.0795,1.3000
1180660,31/03/2024,30/04/2028,4.0822,1.3000
1180660,31/03/2024,30/04/2029,5.0822,1.3000
1180660,31/03/2024,30/04/2030,6.0822,1.3000
1180660,31/03/2024,30/04/2031,7.0822,1.3000
1180660,31/03/2024,30/04/2032,8.0849,101.3000
1184076,31/03/2024,29/11/2024,0.6630,2.8000
1184076,31/03/2024,30/11/2025,1.6658,2.8000
1184076,31/03/2024,30/11/2026,2.6658,2.8000
1184076,31/03/2024,30/11/2027,3.6658,2.8000
1184076,31/03/2024,30/11/2028,4.6685,2.8000
1184076,31/03/2024,30/11/2029,5.6685,2.8000
1184076,31/03/2024,29/11/2030,6.6658,2.8000
1184076,31/03/2024,30/11/2031,7.6685,2.8000
