ncode,tdate,tenor,price,vot,wgt
9590431,31/12/2023,0.5808,102.9814,8969420,0.006006
1135912,31/12/2023,1.8329,98.7006,22782075,0.015256
1169564,31/12/2023,2.5808,96.9275,201039944,0.134629
1140847,31/12/2023,3.4137,98.5553,126456709,0.084683
1197326,31/12/2023,4.8356,99.1631,109809726,0.073535
1157023,31/12/2023,5.4164,95.8126,485321386,0.325001
1172220,31/12/2023,7.9178,89.4619,391531770,0.262193
1097708,31/12/2023,12.4192,129.4522,16324352,0.010932
1120583,31/12/2023,17.6740,117.0061,1909672,0.001279
1134865,31/12/2023,21.4274,87.1279,2019251,0.001352
1168301,31/12/2023,27.9315,71.5875,127129483,0.085134
