ncode,tdate,tenor,price,vot,wgt
8240616,31/12/2023,0.4274,98.1500,173369703,0.056707
8240715,31/12/2023,0.5041,97.8900,113228300,0.037035
8240814,31/12/2023,0.6000,97.5300,490366053,0.160391
8240913,31/12/2023,0.6767,97.2900,26344050,0.008617
8241010,31/12/2023,0.7534,96.9600,244172378,0.079865
8241119,31/12/2023,0.8493,96.6100,40595534,0.013278
8241218,31/12/2023,0.9260,96.3400,8401789,0.002748
1162668,31/12/2023,1.3288,96.1000,56535147,0.018492
1135557,31/12/2023,1.6658,97.3200,311965431,0.102039
1174697,31/12/2023,2.1589,93.7800,38642606,0.012639
1099456,31/12/2023,2.8301,107.9000,57875703,0.018930
1139344,31/12/2023,3.2466,96.5500,26480032,0.008661
1150879,31/12/2023,4.7452,94.4900,320758423,0.104915
1194802,31/12/2023,5.1644,102.8000,137937388,0.045117
1160985,31/12/2023,6.2493,85.3800,379642704,0.124175
1180660,31/12/2023,8.3342,82.2300,306429921,0.100228
1166180,31/12/2023,13.4219,72.5200,90566098,0.029623
1125400,31/12/2023,18.0959,118.5000,84567252,0.027661
1140193,31/12/2023,23.2603,92.0000,113379844,0.037085
1184076,31/12/2023,28.9315,71.5200,36055562,0.011793
